Guide	Gene	aav3	aav4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	17	18	19	20
Pdcd6_-_74317209.23-P1P2	Pdcd6	5741	5595	2477	1105	1429	2299	1475	2438	2362	1996	2708	1956	2606	1286	3473	2801	2219	2307	3822	3741	3148
Acot7_-_152186242.23-P1P2	Acot7	597	658	244	74	297	170	177	573	215	311	479	229	365	168	412	216	195	323	516	603	468
Nkx2-2_-_147186353.23-P1	Nkx2-2_P1	43	24	16	41	0	0	15	8	26	23	28	4	16	17	26	41	52	20	48	19	5
Tial1_+_128461305.23-P1P2	Tial1	2268	2313	1259	453	1002	773	735	1087	1172	1227	1248	1024	1456	416	1789	1517	1150	1098	1701	1357	1277
Txnl1_-_63692254.23-P1P2	Txnl1	1502	1505	691	346	909	517	528	796	661	642	917	647	796	308	1184	888	573	685	706	1083	1090
Cpn1_+_43986489.23-P1P2	Cpn1	940	972	511	183	300	390	348	452	427	474	654	306	389	268	653	664	478	657	911	667	600
Adamts17_-_66839770.23-P1P2	Adamts17	348	334	184	26	375	26	132	201	141	144	169	148	170	115	105	212	70	155	164	125	324
Dolk_+_30286341.23-P1P2	Dolk	2134	2202	1197	307	681	1089	568	1127	1003	870	1165	825	984	416	1448	1136	1003	829	1758	1254	1200
Dnajc7_-_100619629.23-P1P2	Dnajc7	2643	2824	1260	707	1274	691	871	1445	1593	1060	1390	1149	1430	754	1741	1724	1096	1044	2119	1986	1733
Serinc2_-_130275507.23-P1P2	Serinc2	2253	2318	1147	345	760	739	830	1343	1036	1120	1376	1075	1296	552	2171	1147	1361	1269	1984	1570	1166
Klhl15_-_94234969.23-P1P2	Klhl15	737	786	568	98	323	476	233	655	343	207	435	306	425	229	767	375	347	384	459	504	533
Bscl2_+_8837584.23-P2	Bscl2_P2	2041	1978	905	459	882	699	541	968	898	842	1104	723	1091	535	1467	1055	741	554	1462	1307	1034
Rnf34_-_122850233.23-P1P2	Rnf34	4909	4985	1723	1028	1564	2014	1299	2207	1761	1889	2380	1591	2516	873	3450	2094	1883	1891	3186	2876	2791
Klhl42_-_147091537.23-P1P2	Klhl42	6688	6979	3344	1494	2679	2260	2174	3493	3106	3435	3966	2994	4085	1674	5039	4363	2904	2826	4788	4484	4618
Tsku_-_98361281.23-P1P2	Tsku	1448	1466	545	302	1084	615	433	913	706	814	871	616	760	478	1045	648	583	764	935	1023	966
Rag1_+_101649200.23-P1P2	Rag1	2344	2447	1004	387	562	465	801	1025	996	849	1187	805	1173	487	1487	924	1021	885	1539	1172	1370
Ubac2_-_121878969.23-P1P2	Ubac2	2696	2728	1647	529	941	1082	822	1564	1512	1149	1659	1357	1515	511	2279	1404	980	1020	1645	1766	1793
Usp47_+_112023576.23-P1P2	Usp47	1110	1003	584	273	198	609	274	602	530	553	676	336	682	310	660	692	434	599	845	786	330
Trim59_-_69044696.23-P1P2	Trim59	2644	2834	1524	968	1840	1141	1006	1711	1424	1558	1469	1175	1543	881	2368	1962	1242	1309	2236	1540	1567
Ccdc116_-_17144401.23-P1P2	Ccdc116	3039	3284	1670	519	978	776	774	1760	1285	1240	1440	1172	1310	534	1864	1378	1110	1250	1972	1869	1374
non-targeting_00807	non-targeting	2450	2680	1438	619	1282	894	850	1250	1378	1226	1719	1171	1385	589	2053	1328	989	1105	2264	1821	2178
Tor1aip2_-_156040932.23-P2	Tor1aip2_P2	1322	1374	898	254	401	717	359	733	909	722	853	555	955	379	1108	609	433	472	1207	704	948
Fkbp4_+_128438485.23-P1P2	Fkbp4	6524	6488	3146	1002	2255	2315	1973	3390	2842	2702	3537	2580	3404	1341	4014	4148	2704	2852	4349	3606	4233
Gjb1_-_101377356.23-P1P2	Gjb1	4540	4698	2434	879	1517	1656	1438	2598	1996	2193	2395	1787	2646	1030	3129	2290	2014	1574	2918	2530	2740
Capn11_+_45659302.23-P1P2	Capn11	1898	1954	1294	273	405	878	468	937	759	755	992	757	903	302	917	1079	727	513	1008	1201	962
Adam18_+_24674507.23-P1P2	Adam18	2854	3162	1584	692	835	711	873	1339	1444	1321	1619	1244	1635	786	2390	1723	1701	1168	1868	1613	1941
Fbxo43_+_36164822.23-P1P2	Fbxo43	1356	1424	889	327	952	743	436	761	632	846	785	622	847	376	1264	840	549	680	1418	1014	793
Atg4b_-_93755006.23-P1P2	Atg4b	4160	4596	1925	803	1925	1349	1267	2177	1894	1924	2663	1632	1972	958	2089	2387	1905	1719	2534	2530	2357
Usp32_-_85139900.23-P1P2	Usp32	1200	1266	732	187	571	733	503	578	436	551	802	487	746	388	764	548	500	471	726	829	813
Trim69_-_122160951.23-P1P2	Trim69	3929	4309	1853	785	1258	1284	1161	1915	1790	1654	2207	1664	1965	843	2457	2573	1716	1834	2687	2301	2221
Msr1_+_39642675.23-P1P2	Msr1	1800	2050	993	600	472	861	541	1189	877	739	988	644	1015	300	1237	980	781	829	1579	1009	856
Eml2_+_19176449.23-P2	Eml2_P2	4012	4333	2246	741	1592	1702	1087	2305	1633	1702	2047	1720	2227	868	2287	2041	1937	1555	2859	2467	2372
Psen2_+_180229907.23-P2	Psen2_P2	4427	4476	2464	976	1178	1513	1379	2294	2001	2005	2770	1882	2436	994	2795	2105	1979	1976	3531	2810	2510
Rfwd2_+_159232219.23-P1P2	Rfwd2	3218	3188	1662	613	1271	946	1131	1537	1524	1342	1653	1313	1710	791	2091	2258	1481	1212	1851	1913	1949
Lman2_+_55362592.23-P1P2	Lman2	4929	5321	3031	1224	2173	1942	1663	2629	2672	2349	2391	2089	2531	1018	3912	2391	1952	2086	3188	3848	3134
Msto1_+_88913880.23-P1P2	Msto1	3328	3486	1149	324	484	1277	537	912	983	958	1243	760	916	399	1423	1047	482	627	1227	1558	1509
Awat1_+_100572266.23-P1P2	Awat1	1239	1414	764	217	287	901	341	649	780	473	634	447	745	295	430	538	604	446	805	614	685
Gan_-_117158036.23-P1P2	Gan	1574	1725	735	377	690	753	530	931	815	796	963	661	921	367	1216	882	610	801	1079	1144	1076
Nr2c1_-_94147984.23-P1P2	Nr2c1	3631	3833	1876	789	1290	1228	1325	2313	1951	1607	2386	1720	2171	890	2802	2563	1717	1454	2720	1973	1841
Gdpgp1_-_80232890.23-P1P2	Gdpgp1	4357	4499	2357	1242	1738	1836	1350	2425	2343	2134	2581	1698	2445	1012	3395	2453	1891	2076	3994	2788	2354
Wdr24_+_25823667.23-P1P2	Wdr24	2465	2685	1131	229	1277	950	741	1225	1106	953	1222	898	1281	497	1526	1291	1025	1011	2092	1053	1290
Slc37a4_+_44398567.23-P1	Slc37a4_P1	3078	3249	1377	740	492	862	824	1543	1199	1316	1589	1101	1452	669	1869	1654	1138	1217	1900	1694	1741
Fbxl14_-_119479507.23-P1P2	Fbxl14	2145	2310	1168	530	508	823	695	1207	1221	898	1196	957	1114	360	1793	1754	886	873	1547	1530	1250
Enpp6_-_46986954.23-P1P2	Enpp6	793	949	406	72	285	127	238	439	400	324	413	335	441	199	583	485	382	522	661	330	501
Fam3c_+_22356009.23-P1P2	Fam3c	5147	4913	2469	1277	1977	1629	1312	2380	2183	2267	2818	2100	2747	1227	3898	2811	2139	2316	3709	3372	2693
Ahcyl1_+_107696115.23-P1P2	Ahcyl1	3629	4246	2388	707	1464	1046	1043	1938	2085	1900	2318	1717	1839	990	3752	2250	1635	1281	3380	2093	2527
Phf21a_+_92185567.23-P2	Phf21a_P2	2661	2626	955	453	1595	907	732	1148	1143	1108	1375	983	1203	555	1935	1252	1042	1148	2002	1661	1331
Atp6v1f_-_29467864.23-P1P2	Atp6v1f	4995	5098	1709	660	949	1233	973	1302	1509	1520	1843	1308	1773	742	2075	1396	1367	1216	2018	2384	1823
Prss54_-_95576255.23-P1P2	Prss54	3950	4079	1759	645	837	1229	1194	1925	2041	1911	2157	1582	1954	747	2787	2064	1439	1347	3399	2329	2751
Rce1_+_4625610.23-P1P2	Rce1	1561	1668	1013	290	471	878	463	708	889	669	774	754	825	505	1152	1140	801	793	1053	1226	922
Dnajc30_-_135064441.23-P1P2	Dnajc30	3086	2995	1750	678	682	1228	860	1322	1219	967	1648	1085	1480	685	1816	1462	1054	1213	2071	1430	1485
Steap2_+_5694057.23-P1P2	Steap2	1294	1424	1120	216	448	567	576	717	514	807	844	702	714	360	996	400	876	556	1118	918	917
Nsg2_-_32000489.23-P1P2	Nsg2	2347	2293	1103	389	743	941	710	1192	1161	1234	1310	1087	1332	628	1446	1674	1111	1092	2150	1626	1690
Gnb2l1_+_48800426.23-P1P2	Gnb2l1	2937	2976	1505	804	776	1006	831	1617	1578	1291	1926	1233	1651	862	2291	1939	1239	1455	2316	1844	1967
Osbpl8_-_111164807.23-P1P2	Osbpl8	3119	3318	1744	429	1064	987	1037	1413	1178	1303	1822	1421	1741	705	2167	1740	1140	1469	2349	2218	1914
