Guide	Gene	c1	c2	c3	t1	t2	t3	t4
Ttc17_-_94406445.23-P1	Ttc17	14699	4132	3220	13169	7813	1804	1291
Prpf6_+_181601388.23-P1P2	Prpf6	5365	1833	1520	2084	1696	373	316
Tor1b_-_30953007.23-P1P2	Tor1b	13753	3933	3119	11206	6386	1901	1252
Ttc30b_-_75938463.23-P1P2	Ttc30b	6193	2149	1590	6288	3569	935	627
Pdia2_+_26198983.23-P1	Pdia2	14795	4804	3469	13385	8498	1992	1375
non-targeting_00548	non-targeting	18943	5858	4497	17102	9794	2587	1714
Ift88_+_57424108.23-P1P2	Ift88	14513	5493	4325	12394	7820	2034	1505
Eif2ak3_-_70844618.23-P1P2	Eif2ak3	20308	5949	4569	17710	9715	2724	1873
Aarsd1_+_101424637.23-P2	Aarsd1	6319	2115	1624	5882	3338	763	708
Anapc7_+_122422527.23-P1P2	Anapc7	14800	4848	3716	13341	7778	2134	1527
Ppif_+_25694214.23-P1P2	Ppif	10827	2648	2056	8851	5766	1123	739
Plod2_+_92542310.23-P1P2	Plod2	15362	4675	3505	14215	9173	2117	1401
Ogt_+_101640081.23-P1P2	Ogt	7662	2533	1943	5643	3602	959	627
Ttc30a1_-_75981772.23-P1P2	Ttc30a1	8968	3149	2528	7914	4363	1249	868
Gpsm1_-_26315601.23-P1P2	Gpsm1	17724	5658	4270	16565	9755	2331	1848
Ern1_-_106487794.23-P1P2	Ern1	20023	5842	4434	18762	10842	2750	1885
Agr2_+_35992929.23-P1P2	Agr2	11821	3746	3010	10631	5248	1621	1238
non-targeting_00009	non-targeting	9601	2792	2097	8639	5268	1326	860
non-targeting_00851	non-targeting	5259	1665	1368	4883	2504	765	584
Fkbp4_-_128438592.23-P1P2	Fkbp4	9273	2393	1849	7638	4277	1044	719
Canx_+_50325584.23-P1P2	Canx	12368	3594	2924	10322	5896	1779	1078
Ttc32_+_9030037.23-P1P2	Ttc32	6804	2220	1588	6500	4171	1028	753
