cohort	replicate	subset	num_overlapping	frac_overlapping
size_9_4	4	9	13	0.6190476190476191
size_9_5	5	9	18	0.8571428571428571
size_9_6	6	9	16	0.7619047619047619
size_9_7	7	9	11	0.5238095238095237
size_9_8	8	9	16	0.7619047619047619
size_9_9	9	9	15	0.7142857142857142
size_9_10	10	9	15	0.7142857142857142
size_9_11	11	9	5	0.23809523809523808
size_9_12	12	9	18	0.8571428571428571
size_9_13	13	9	9	0.42857142857142855
size_9_14	14	9	12	0.5714285714285714
size_9_15	15	9	7	0.3333333333333333
size_9_16	16	9	7	0.3333333333333333
size_9_17	17	9	13	0.6190476190476191
size_9_18	18	9	14	0.6666666666666666
size_9_19	19	9	18	0.8571428571428571
size_9_20	20	9	14	0.6666666666666666
size_9_21	21	9	12	0.5714285714285714
size_9_22	22	9	12	0.5714285714285714
size_9_23	23	9	17	0.8095238095238095
size_9_24	24	9	15	0.7142857142857142
size_9_25	25	9	7	0.3333333333333333
size_9_26	26	9	10	0.47619047619047616
size_9_27	27	9	12	0.5714285714285714
size_9_28	28	9	14	0.6666666666666666
size_9_29	29	9	13	0.6190476190476191
size_9_30	30	9	17	0.8095238095238095
size_9_31	31	9	15	0.7142857142857142
size_9_32	32	9	11	0.5238095238095237
size_9_33	33	9	11	0.5238095238095237
size_9_34	34	9	10	0.47619047619047616
size_9_35	35	9	16	0.7619047619047619
size_9_36	36	9	15	0.7142857142857142
size_9_37	37	9	19	0.9047619047619047
size_9_38	38	9	16	0.7619047619047619
size_9_39	39	9	5	0.23809523809523808
size_9_40	40	9	14	0.6666666666666666
size_9_41	41	9	11	0.5238095238095237
size_9_42	42	9	19	0.9047619047619047
size_9_43	43	9	13	0.6190476190476191
size_9_44	44	9	11	0.5238095238095237
size_9_45	45	9	11	0.5238095238095237
size_9_46	46	9	12	0.5714285714285714
size_9_47	47	9	14	0.6666666666666666
size_9_48	48	9	17	0.8095238095238095
size_9_49	49	9	16	0.7619047619047619
size_10_0	0	10	12	0.5714285714285714
size_10_1	1	10	18	0.8571428571428571
size_10_2	2	10	10	0.47619047619047616
size_10_3	3	10	18	0.8571428571428571
size_10_4	4	10	17	0.8095238095238095
size_10_5	5	10	11	0.5238095238095237
size_10_6	6	10	15	0.7142857142857142
size_10_7	7	10	15	0.7142857142857142
size_10_8	8	10	20	0.9523809523809523
size_10_9	9	10	18	0.8571428571428571
size_10_10	10	10	18	0.8571428571428571
size_10_11	11	10	13	0.6190476190476191
size_10_12	12	10	11	0.5238095238095237
size_10_13	13	10	18	0.8571428571428571
size_10_14	14	10	12	0.5714285714285714
size_10_15	15	10	14	0.6666666666666666
size_10_16	16	10	17	0.8095238095238095
size_10_17	17	10	11	0.5238095238095237
size_10_18	18	10	10	0.47619047619047616
size_10_19	19	10	8	0.38095238095238093
size_10_20	20	10	18	0.8571428571428571
size_10_21	21	10	16	0.7619047619047619
size_10_22	22	10	15	0.7142857142857142
size_10_23	23	10	16	0.7619047619047619
size_10_24	24	10	16	0.7619047619047619
size_10_25	25	10	17	0.8095238095238095
size_10_26	26	10	18	0.8571428571428571
size_10_27	27	10	12	0.5714285714285714
size_10_28	28	10	17	0.8095238095238095
size_10_29	29	10	18	0.8571428571428571
size_10_30	30	10	19	0.9047619047619047
size_10_31	31	10	14	0.6666666666666666
size_10_32	32	10	20	0.9523809523809523
size_10_33	33	10	15	0.7142857142857142
size_10_34	34	10	19	0.9047619047619047
size_10_35	35	10	17	0.8095238095238095
size_10_36	36	10	20	0.9523809523809523
size_10_37	37	10	10	0.47619047619047616
size_10_38	38	10	14	0.6666666666666666
size_10_39	39	10	9	0.42857142857142855
size_10_40	40	10	12	0.5714285714285714
size_10_41	41	10	10	0.47619047619047616
size_10_42	42	10	12	0.5714285714285714
size_10_43	43	10	16	0.7619047619047619
size_10_44	44	10	16	0.7619047619047619
size_10_45	45	10	13	0.6190476190476191
size_10_46	46	10	16	0.7619047619047619
size_10_47	47	10	9	0.42857142857142855
size_10_48	48	10	11	0.5238095238095237
size_10_49	49	10	16	0.7619047619047619
