cohort	replicate	subset	num_overlapping	frac_overlapping
size_4_19	19	4	49	0.4711538461538462
size_4_20	20	4	74	0.7115384615384616
size_4_21	21	4	62	0.5961538461538461
size_4_22	22	4	76	0.7307692307692308
size_4_23	23	4	62	0.5961538461538461
size_4_24	24	4	79	0.7596153846153847
size_4_25	25	4	71	0.6826923076923077
size_4_26	26	4	80	0.7692307692307693
size_4_27	27	4	66	0.6346153846153847
size_4_28	28	4	75	0.7211538461538461
size_4_29	29	4	61	0.5865384615384616
size_4_30	30	4	46	0.44230769230769235
size_4_31	31	4	83	0.7980769230769231
size_4_32	32	4	75	0.7211538461538461
size_4_33	33	4	67	0.6442307692307693
size_4_34	34	4	64	0.6153846153846154
size_4_35	35	4	62	0.5961538461538461
size_4_36	36	4	57	0.5480769230769231
size_4_37	37	4	49	0.4711538461538462
size_4_38	38	4	62	0.5961538461538461
size_4_39	39	4	65	0.625
size_4_40	40	4	83	0.7980769230769231
size_4_41	41	4	74	0.7115384615384616
size_4_42	42	4	67	0.6442307692307693
size_4_43	43	4	71	0.6826923076923077
size_4_44	44	4	83	0.7980769230769231
size_4_45	45	4	54	0.5192307692307693
size_4_46	46	4	82	0.7884615384615385
size_4_47	47	4	63	0.6057692307692308
size_4_48	48	4	79	0.7596153846153847
size_4_49	49	4	77	0.7403846153846154
size_5_0	0	5	67	0.6442307692307693
size_5_1	1	5	73	0.701923076923077
size_5_2	2	5	66	0.6346153846153847
size_5_3	3	5	76	0.7307692307692308
size_5_4	4	5	69	0.6634615384615385
size_5_5	5	5	56	0.5384615384615385
size_5_6	6	5	66	0.6346153846153847
size_5_7	7	5	66	0.6346153846153847
size_5_8	8	5	61	0.5865384615384616
size_5_9	9	5	52	0.5
size_5_10	10	5	79	0.7596153846153847
size_5_11	11	5	49	0.4711538461538462
size_5_12	12	5	66	0.6346153846153847
size_5_13	13	5	67	0.6442307692307693
size_5_14	14	5	81	0.7788461538461539
size_5_15	15	5	75	0.7211538461538461
size_5_16	16	5	85	0.8173076923076924
size_5_17	17	5	57	0.5480769230769231
size_5_18	18	5	55	0.5288461538461539
size_5_19	19	5	68	0.6538461538461539
size_5_20	20	5	74	0.7115384615384616
size_5_21	21	5	69	0.6634615384615385
size_5_22	22	5	68	0.6538461538461539
size_5_23	23	5	60	0.576923076923077
size_5_24	24	5	62	0.5961538461538461
size_5_25	25	5	56	0.5384615384615385
size_5_26	26	5	67	0.6442307692307693
size_5_27	27	5	72	0.6923076923076923
size_5_28	28	5	81	0.7788461538461539
size_5_29	29	5	62	0.5961538461538461
size_5_30	30	5	67	0.6442307692307693
size_5_31	31	5	84	0.8076923076923077
size_5_32	32	5	63	0.6057692307692308
size_5_33	33	5	49	0.4711538461538462
size_5_34	34	5	59	0.5673076923076923
size_5_35	35	5	82	0.7884615384615385
size_5_36	36	5	60	0.576923076923077
